[2024-05-25 23:51:52,674: INFO: main: hello]
[2024-05-27 00:58:45,536: INFO: main: >>>>>> stage  Data Ingestion stage started <<<<<<<]
[2024-05-27 00:58:45,548: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 00:58:45,556: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 00:58:45,557: INFO: common: created directory at: artifacts]
[2024-05-27 00:58:45,559: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-27 00:58:45,559: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1aOA1AS9SuElVxdJHE48GFLCNRsDXBwpY/view?usp=drive_link into the artifacts/data_ingestion/data.zip]
[2024-05-27 00:58:56,241: INFO: data_ingestion: Download data from https://drive.google.com/file/d/1aOA1AS9SuElVxdJHE48GFLCNRsDXBwpY/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-05-27 00:59:00,856: INFO: main: >>>>>> stage  Data Ingestion stage completed <<<<<<<

x========x]
[2024-05-27 21:02:18,141: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:02:18,184: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:02:18,190: INFO: common: created directory at: artifacts]
[2024-05-27 21:02:18,195: INFO: common: created directory at: artifacts/prepare_base_model/base_model.h5]
[2024-05-27 21:03:25,169: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:03:25,176: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:03:25,181: INFO: common: created directory at: artifacts]
[2024-05-27 21:03:25,184: INFO: common: created directory at: artifacts/prepare_base_model/base_model.h5]
[2024-05-27 21:06:45,424: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:06:45,432: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:06:45,436: INFO: common: created directory at: artifacts]
[2024-05-27 21:06:45,439: INFO: common: created directory at: artifacts/prepare_base_model/base_model.h5]
[2024-05-27 21:09:55,188: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:09:55,193: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:09:55,196: INFO: common: created directory at: artifacts]
[2024-05-27 21:09:55,198: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 21:11:55,236: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:11:55,242: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:11:55,244: INFO: common: created directory at: artifacts]
[2024-05-27 21:11:55,246: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 21:14:42,721: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:14:42,733: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:14:42,736: INFO: common: created directory at: artifacts]
[2024-05-27 21:14:42,738: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 21:14:51,478: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:14:51,484: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:14:51,487: INFO: common: created directory at: artifacts]
[2024-05-27 21:14:51,490: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 21:31:11,937: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:31:11,946: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:31:11,949: INFO: common: created directory at: artifacts]
[2024-05-27 21:31:11,951: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 21:33:10,189: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:33:10,197: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:33:10,200: INFO: common: created directory at: artifacts]
[2024-05-27 21:33:10,203: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 21:36:15,409: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:36:15,417: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:36:15,420: INFO: common: created directory at: artifacts]
[2024-05-27 21:36:15,424: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 21:47:44,511: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:47:44,520: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:47:44,523: INFO: common: created directory at: artifacts]
[2024-05-27 21:47:44,527: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 21:59:40,991: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 21:59:41,001: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 21:59:41,006: INFO: common: created directory at: artifacts]
[2024-05-27 21:59:41,012: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 22:01:59,756: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 22:01:59,764: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 22:01:59,769: INFO: common: created directory at: artifacts]
[2024-05-27 22:01:59,775: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 22:02:48,858: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-27 22:02:48,866: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-27 22:02:48,869: INFO: common: created directory at: artifacts]
[2024-05-27 22:02:48,872: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-05-27 22:03:03,530: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-05-27 22:03:04,074: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2024-05-29 18:29:35,208: INFO: main: >>>>>> stage  Data Ingestion stage started <<<<<<<]
[2024-05-29 18:29:35,261: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-29 18:29:35,264: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-29 18:29:35,266: INFO: common: created directory at: artifacts]
[2024-05-29 18:29:35,268: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-29 18:29:35,269: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1aOA1AS9SuElVxdJHE48GFLCNRsDXBwpY/view?usp=drive_link into the artifacts/data_ingestion/data.zip]
[2024-05-29 18:29:51,201: INFO: data_ingestion: Download data from https://drive.google.com/file/d/1aOA1AS9SuElVxdJHE48GFLCNRsDXBwpY/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-05-29 18:29:53,149: INFO: main: >>>>>> stage  Data Ingestion stage completed <<<<<<<

x========x]
[2024-05-29 18:29:53,150: INFO: main: ******************]
[2024-05-29 18:29:53,150: INFO: main: >>>>>> stage  Data Ingestion stage started <<<<<<<]
[2024-05-29 18:29:53,158: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-29 18:29:53,166: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-29 18:29:53,167: INFO: common: created directory at: artifacts]
